Model,Dataset,UseWindowScalar,Epoch,TimeStepNum,LookAheadNum,NetworkType,Features,BatchSize,RMSE,MAPE,R2,TrainingLoss,ValidationLoss
SavedModels/0,Datasets/BTC-2021-minute.csv,False,1,80,1,GRU,Close-,5000,148.77,0.31,0.999,0.018054982647299767,6.855680840089917e-05
SavedModels/0,Datasets/BTC-2021-minute.csv,False,2,80,1,GRU,Close-,5000,107.35,0.2,0.999,0.0021643717773258686,3.80908531951718e-05
SavedModels/0,Datasets/BTC-2021-minute.csv,False,3,80,1,GRU,Close-,5000,73.03,0.13,1.0,0.001703178626485169,1.1660696145554539e-05
SavedModels/0,Datasets/BTC-2021-minute.csv,False,4,80,1,GRU,Close-,5000,78.77,0.14,1.0,0.0014372861478477716,1.603748205525335e-05
SavedModels/0,Datasets/BTC-2021-minute.csv,False,5,80,1,GRU,Close-,5000,61.56,0.1,1.0,0.0012633433798328042,5.2077289183216635e-06
SavedModels/0,Datasets/BTC-2021-minute.csv,False,6,80,1,GRU,Close-,5000,73.67,0.13,1.0,0.0011448077857494354,1.324254299106542e-05
SavedModels/0,Datasets/BTC-2021-minute.csv,False,7,80,1,GRU,Close-,5000,80.82,0.14,1.0,0.0010670439805835485,1.8619739421410486e-05
SavedModels/0,Datasets/BTC-2021-minute.csv,False,8,80,1,GRU,Close-,5000,63.35,0.1,1.0,0.001023073447868228,6.420387762773316e-06
SavedModels/0,Datasets/BTC-2021-minute.csv,False,9,80,1,GRU,Close-,5000,79.25,0.14,1.0,0.0009765153517946601,1.7927108274307102e-05
SavedModels/0,Datasets/BTC-2021-minute.csv,False,10,80,1,GRU,Close-,5000,74.39,0.13,1.0,0.0009436584077775478,1.43984534588526e-05
SavedModels/0,Datasets/BTC-2021-minute.csv,False,11,80,1,GRU,Close-,5000,70.06,0.12,1.0,0.0009112837142311037,1.1454974810476415e-05
SavedModels/0,Datasets/BTC-2021-minute.csv,False,12,80,1,GRU,Close-,5000,63.32,0.1,1.0,0.000881675339769572,6.591042620129883e-06
SavedModels/0,Datasets/BTC-2021-minute.csv,False,13,80,1,GRU,Close-,5000,80.54,0.14,1.0,0.0008610698278062046,2.0150358977844007e-05
SavedModels/0,Datasets/BTC-2021-minute.csv,False,14,80,1,GRU,Close-,5000,60.87,0.1,1.0,0.0008314537699334323,6.05930108577013e-06
SavedModels/0,Datasets/BTC-2021-minute.csv,False,15,80,1,GRU,Close-,5000,76.16,0.13,1.0,0.0008048879099078476,1.6491769201820716e-05
SavedModels/0,Datasets/BTC-2021-minute.csv,False,16,80,1,GRU,Close-,5000,61.12,0.1,1.0,0.0007859853794798255,6.644774202868575e-06
SavedModels/0,Datasets/BTC-2021-minute.csv,False,17,80,1,GRU,Close-,5000,83.06,0.15,1.0,0.0007652969215996563,2.3260559828486294e-05
SavedModels/0,Datasets/BTC-2021-minute.csv,False,18,80,1,GRU,Close-,5000,80.69,0.14,1.0,0.0007401510374620557,2.1169740648474544e-05
SavedModels/0,Datasets/BTC-2021-minute.csv,False,19,80,1,GRU,Close-,5000,80.07,0.14,1.0,0.0007210511830635369,2.0746734662679955e-05
SavedModels/0,Datasets/BTC-2021-minute.csv,False,20,80,1,GRU,Close-,5000,61.7,0.1,1.0,0.0006935735000297427,7.622096745762974e-06
SavedModels/0,Datasets/BTC-2021-minute.csv,False,21,80,1,GRU,Close-,5000,63.39,0.11,1.0,0.0006735186907462776,8.856027307047043e-06
SavedModels/0,Datasets/BTC-2021-minute.csv,False,22,80,1,GRU,Close-,5000,56.7,0.09,1.0,0.0006478787399828434,4.416431238496443e-06
SavedModels/0,Datasets/BTC-2021-minute.csv,False,23,80,1,GRU,Close-,5000,64.6,0.11,1.0,0.0006275541381910443,1.0098679013026413e-05
SavedModels/0,Datasets/BTC-2021-minute.csv,False,24,80,1,GRU,Close-,5000,73.84,0.13,1.0,0.0006044554756954312,1.745085683069192e-05
SavedModels/0,Datasets/BTC-2021-minute.csv,False,25,80,1,GRU,Close-,5000,64.83,0.11,1.0,0.0005799568607471883,1.0593741535558365e-05
SavedModels/0,Datasets/BTC-2021-minute.csv,False,26,80,1,GRU,Close-,5000,55.75,0.09,1.0,0.0005629059742204845,3.847027528536273e-06
SavedModels/0,Datasets/BTC-2021-minute.csv,False,27,80,1,GRU,Close-,5000,94.25,0.17,1.0,0.0005393906030803919,3.645224205683917e-05
SavedModels/0,Datasets/BTC-2021-minute.csv,False,28,80,1,GRU,Close-,5000,55.65,0.09,1.0,0.0005193220567889512,4.478725713852327e-06
SavedModels/0,Datasets/BTC-2021-minute.csv,False,29,80,1,GRU,Close-,5000,105.33,0.19,0.999,0.0005005144630558789,4.787725629284978e-05
SavedModels/0,Datasets/BTC-2021-minute.csv,False,30,80,1,GRU,Close-,5000,76.08,0.13,1.0,0.0004784749180544168,1.9010411051567644e-05
SavedModels/0,Datasets/BTC-2021-minute.csv,False,31,80,1,GRU,Close-,5000,54.96,0.09,1.0,0.0004597783845383674,3.7332220017560758e-06
SavedModels/0,Datasets/BTC-2021-minute.csv,False,32,80,1,GRU,Close-,5000,54.86,0.09,1.0,0.0004432083514984697,4.173155957687413e-06
SavedModels/0,Datasets/BTC-2021-minute.csv,False,33,80,1,GRU,Close-,5000,59.25,0.1,1.0,0.000425959296990186,7.300561719603138e-06
SavedModels/0,Datasets/BTC-2021-minute.csv,False,34,80,1,GRU,Close-,5000,103.85,0.19,0.999,0.0004066262918058783,4.675368109019473e-05
SavedModels/0,Datasets/BTC-2021-minute.csv,False,35,80,1,GRU,Close-,5000,72.04,0.12,1.0,0.0003916381683666259,1.6440126273664646e-05
SavedModels/0,Datasets/BTC-2021-minute.csv,False,36,80,1,GRU,Close-,5000,90.09,0.16,1.0,0.00037997044273652136,3.1366631446871907e-05
